timestamp,tx_id,active_power_mw,current_amps
2024-01-02 20:00:00+00:00,brighton_local_33kv_gt1,24.47,408.3
2024-01-02 20:00:00+00:00,brighton_local_33kv_gt2,23.25,404.71
2024-01-02 20:30:00+00:00,brighton_local_33kv_gt1,23.49,391.29
2024-01-02 20:30:00+00:00,brighton_local_33kv_gt2,22.24,387.64
2024-01-02 21:00:00+00:00,brighton_local_33kv_gt1,22.51,374.27
2024-01-02 21:00:00+00:00,brighton_local_33kv_gt2,21.27,370.57
2024-01-02 21:30:00+00:00,brighton_local_33kv_gt1,21.52,357.25
2024-01-02 21:30:00+00:00,brighton_local_33kv_gt2,20.29,353.5
2024-01-02 22:00:00+00:00,brighton_local_33kv_gt1,20.54,340.23
2024-01-02 22:00:00+00:00,brighton_local_33kv_gt2,19.31,336.43
2024-01-02 22:30:00+00:00,brighton_local_33kv_gt1,19.47,323.21
2024-01-02 22:30:00+00:00,brighton_local_33kv_gt2,18.34,319.37
2024-01-02 23:00:00+00:00,brighton_local_33kv_gt1,17.98,306.19
2024-01-02 23:00:00+00:00,brighton_local_33kv_gt2,17.55,302.94
2024-01-02 23:30:00+00:00,brighton_local_33kv_gt2,17.07,287.13
2024-01-02 23:30:00+00:00,brighton_local_33kv_gt1,17.47,291.73
2024-01-03 00:00:00+00:00,brighton_local_33kv_gt2,16.6,277.75
2024-01-03 00:00:00+00:00,brighton_local_33kv_gt1,16.97,283.49
2024-01-03 00:30:00+00:00,brighton_local_33kv_gt2,16.13,270.95
2024-01-03 00:30:00+00:00,brighton_local_33kv_gt1,16.47,275.54
2024-01-03 01:00:00+00:00,brighton_local_33kv_gt1,15.99,267.58
2024-01-03 01:00:00+00:00,brighton_local_33kv_gt2,15.66,264.15
2024-01-03 01:30:00+00:00,brighton_local_33kv_gt2,15.34,257.35
2024-01-03 01:30:00+00:00,brighton_local_33kv_gt1,15.68,260.65
2024-01-03 02:00:00+00:00,brighton_local_33kv_gt1,15.41,256.96
2024-01-03 02:00:00+00:00,brighton_local_33kv_gt2,15.12,251.58
2024-01-03 02:30:00+00:00,brighton_local_33kv_gt1,15.14,253.52
2024-01-03 02:30:00+00:00,brighton_local_33kv_gt2,14.89,254.2
2024-01-03 03:00:00+00:00,brighton_local_33kv_gt1,14.9,250.08
2024-01-03 03:00:00+00:00,brighton_local_33kv_gt2,14.67,258.65
2024-01-03 03:30:00+00:00,brighton_local_33kv_gt1,15.03,246.7
2024-01-03 03:30:00+00:00,brighton_local_33kv_gt2,14.45,263.11
2024-01-03 04:00:00+00:00,brighton_local_33kv_gt2,14.24,267.57
2024-01-03 04:00:00+00:00,brighton_local_33kv_gt1,15.25,248.01
2024-01-03 04:30:00+00:00,brighton_local_33kv_gt1,15.46,252.18
2024-01-03 04:30:00+00:00,brighton_local_33kv_gt2,14.43,272.03
2024-01-03 05:00:00+00:00,brighton_local_33kv_gt2,14.77,276.49
2024-01-03 05:00:00+00:00,brighton_local_33kv_gt1,15.68,256.35
2024-01-03 05:30:00+00:00,brighton_local_33kv_gt2,15.11,280.94
2024-01-03 05:30:00+00:00,brighton_local_33kv_gt1,15.89,261.28
2024-01-03 06:00:00+00:00,brighton_local_33kv_gt2,15.98,292.72
2024-01-03 06:00:00+00:00,brighton_local_33kv_gt1,16.79,279.22
